Source,Target,Time
870899976,23022687,2016-02-05 05:05:43
69641315,435704007,2016-02-05 05:05:43
69641315,1339835893,2016-02-05 05:05:43
3290319959,110396781,2016-02-05 05:05:43
4862600004,450941680,2016-02-05 05:05:43
4862600004,216776631,2016-02-05 05:05:43
4862600004,3119988399,2016-02-05 05:05:43
1000174741,488809923,2016-02-05 05:05:43
3253946096,3503962453,2016-02-05 05:05:43
3253946096,843820334,2016-02-05 05:05:43
3253946096,3332044263,2016-02-05 05:05:43
3253946096,313010780,2016-02-05 05:05:43
3253946096,73775601,2016-02-05 05:05:43
3253946096,3253946096,2016-02-05 05:05:43
49075903,36746023,2016-02-05 05:05:43
49075903,1339835893,2016-02-05 05:05:43
49075903,21619519,2016-02-05 05:05:43
942691634,190905427,2016-02-05 05:05:43
942691634,1339835893,2016-02-05 05:05:43
19775606,216776631,2016-02-05 05:05:43
239510987,95713333,2016-02-05 05:05:43
2960256421,2833315608,2016-02-05 05:05:44
4872958384,21146733,2016-02-05 05:05:44
4872958384,576215318,2016-02-05 05:05:44
4872958384,216776631,2016-02-05 05:05:44
529009574,2360301337,2016-02-05 05:05:44
3067160718,4209374374,2016-02-05 05:05:44
534831016,18087197,2016-02-05 05:05:44
534831016,23022687,2016-02-05 05:05:44
2330881664,2208095516,2016-02-05 05:05:44
2330881664,23022687,2016-02-05 05:05:44
2619163263,177584156,2016-02-05 05:05:44
2619163263,41634520,2016-02-05 05:05:44
2619163263,1339835893,2016-02-05 05:05:44
14746561,408208049,2016-02-05 05:05:44
2177428656,15012486,2016-02-05 05:05:44
2177428656,216776631,2016-02-05 05:05:44
242821744,3721698014,2016-02-05 05:05:44
4820755123,2467791,2016-02-05 05:05:44
123697014,1917731,2016-02-05 05:05:44
3572758941,75797367,2016-02-05 05:05:44
33229252,3272663479,2016-02-05 05:05:44
591935854,3243180107,2016-02-05 05:05:44
2289158064,3141672447,2016-02-05 05:05:44
384700571,4029018734,2016-02-05 05:05:44
384700571,1180379185,2016-02-05 05:05:44
384700571,47134689,2016-02-05 05:05:44
384700571,432010324,2016-02-05 05:05:44
2714874518,3219137527,2016-02-05 05:05:44
2714874518,1339835893,2016-02-05 05:05:44
2714874518,759251,2016-02-05 05:05:44
2714874518,2836421,2016-02-05 05:05:44
2714874518,16129920,2016-02-05 05:05:44
26619944,887103648,2016-02-05 05:05:45
26619944,91180720,2016-02-05 05:05:45
2991143046,472592980,2016-02-05 05:05:45
1884337686,52751069,2016-02-05 05:05:45
1884337686,184136149,2016-02-05 05:05:45
39414818,112047805,2016-02-05 05:05:45
3120398152,1367531,2016-02-05 05:05:45
3120398152,44135635,2016-02-05 05:05:45
3120398152,7702542,2016-02-05 05:05:45
3120398152,23022687,2016-02-05 05:05:45
3120398152,1180379185,2016-02-05 05:05:45
3121651429,17092542,2016-02-05 05:05:45
3121651429,49698134,2016-02-05 05:05:45
20958510,56149176,2016-02-05 05:05:45
2720975617,15458694,2016-02-05 05:05:45
486306418,2281347398,2016-02-05 05:05:45
30982822,4706060432,2016-02-05 05:05:45
746649829,14175375,2016-02-05 05:05:45
2823620637,196168350,2016-02-05 05:05:45
216177462,4515450675,2016-02-05 05:05:45
25208451,35216399,2016-02-05 05:05:46
25208451,4781182130,2016-02-05 05:05:46
25208451,3428565077,2016-02-05 05:05:46
25208451,24645354,2016-02-05 05:05:46
278862143,15458694,2016-02-05 05:05:46
60075685,527823754,2016-02-05 05:05:46
60075685,457984599,2016-02-05 05:05:46
504129552,2440456711,2016-02-05 05:05:46
504129552,216776631,2016-02-05 05:05:46
48599448,3065900255,2016-02-05 05:05:46
48599448,1339835893,2016-02-05 05:05:46
709964233,2434051392,2016-02-05 05:05:46
709964233,216776631,2016-02-05 05:05:46
628617775,2337415076,2016-02-05 05:05:46
17244450,16311797,2016-02-05 05:05:46
2764553585,3192975585,2016-02-05 05:05:46
2764553585,307548363,2016-02-05 05:05:46
3458314408,45190383,2016-02-05 05:05:46
3458314408,50325797,2016-02-05 05:05:46
1271084154,188793260,2016-02-05 05:05:46
1271084154,216776631,2016-02-05 05:05:46
2949991530,23865382,2016-02-05 05:05:46
3324919772,41634520,2016-02-05 05:05:46
3324919772,179245596,2016-02-05 05:05:46
3324919772,1339835893,2016-02-05 05:05:46
3324919772,1330457336,2016-02-05 05:05:46
488911358,1339835893,2016-02-05 05:05:46
205810264,326331018,2016-02-05 05:05:46
272001208,408121047,2016-02-05 05:05:46
272001208,3001665106,2016-02-05 05:05:46
129096300,20740837,2016-02-05 05:05:46
279657148,2218667364,2016-02-05 05:05:46
747314994,89773253,2016-02-05 05:05:46
53861909,2869072982,2016-02-05 05:05:46
53861909,959227039,2016-02-05 05:05:46
53861909,1339835893,2016-02-05 05:05:46
582867210,1090556088,2016-02-05 05:05:46
16077922,508211969,2016-02-05 05:05:46
16077922,24645354,2016-02-05 05:05:46
16077922,1972462291,2016-02-05 05:05:46
16077922,23022687,2016-02-05 05:05:46
396867495,4265721,2016-02-05 05:05:47
396867495,15164565,2016-02-05 05:05:47
360820739,152142811,2016-02-05 05:05:47
2781021258,78523300,2016-02-05 05:05:47
576215318,3195330108,2016-02-05 05:05:47
3279003277,113061485,2016-02-05 05:05:47
729864282,24217751,2016-02-05 05:05:47
729864282,216776631,2016-02-05 05:05:47
783343310,1669093884,2016-02-05 05:05:47
65931246,30508936,2016-02-05 05:05:47
38180213,95431448,2016-02-05 05:05:47
21352055,14293310,2016-02-05 05:05:47
3388611785,233933230,2016-02-05 05:05:47
3388611785,1339835893,2016-02-05 05:05:47
4813687637,118172546,2016-02-05 05:05:47
4804005008,263893354,2016-02-05 05:05:47
272001208,35821643,2016-02-05 05:05:47
16123853,286680865,2016-02-05 05:05:47
1247772650,177564016,2016-02-05 05:05:47
4765070485,194663746,2016-02-05 05:05:47
1334852306,15754851,2016-02-05 05:05:47
275485057,525821517,2016-02-05 05:05:47
39503398,234186830,2016-02-05 05:05:47
39503398,29442313,2016-02-05 05:05:47
16503468,2710021856,2016-02-05 05:05:48
16384043,3894206656,2016-02-05 05:05:47
16384043,618300542,2016-02-05 05:05:47
2262307472,730052598,2016-02-05 05:05:48
557148841,352947624,2016-02-05 05:05:48
1572435415,37501003,2016-02-05 05:05:48
396867495,4265721,2016-02-05 05:05:48
396867495,15164565,2016-02-05 05:05:48
2422033975,222953824,2016-02-05 05:05:48
2422033975,216776631,2016-02-05 05:05:48
2422033975,1339835893,2016-02-05 05:05:48
93727830,55790584,2016-02-05 05:05:48
3409150158,133920872,2016-02-05 05:05:48
2771164246,65502117,2016-02-05 05:05:48
2771164246,113047940,2016-02-05 05:05:48
2771164246,15745368,2016-02-05 05:05:48
47261735,2583108349,2016-02-05 05:05:48
47261735,258185598,2016-02-05 05:05:48
47261735,3314392584,2016-02-05 05:05:48
47261735,1339835893,2016-02-05 05:05:48
47261735,216776631,2016-02-05 05:05:48
3306629576,15745368,2016-02-05 05:05:48
2777460461,25073877,2016-02-05 05:05:48
136221308,3065872938,2016-02-05 05:05:48
353063439,1339835893,2016-02-05 05:05:48
932075623,366355851,2016-02-05 05:05:48
300670811,19697415,2016-02-05 05:05:48
3311544643,14173315,2016-02-05 05:05:48
595250319,2954137227,2016-02-05 05:05:48
186587664,54065567,2016-02-05 05:05:49
2983568401,2875485611,2016-02-05 05:05:49
2983568401,20110424,2016-02-05 05:05:49
2983568401,1180379185,2016-02-05 05:05:49
213499333,1339835893,2016-02-05 05:05:49
213499333,4856019777,2016-02-05 05:05:49
157540573,52540983,2016-02-05 05:05:49
157540573,2674533054,2016-02-05 05:05:49
157540573,25073877,2016-02-05 05:05:49
4182358696,32845990,2016-02-05 05:05:49
3985826294,1287928974,2016-02-05 05:05:49
3985826294,26062385,2016-02-05 05:05:49
33736525,110445334,2016-02-05 05:05:49
33736525,25073877,2016-02-05 05:05:49
3950137456,18956073,2016-02-05 05:05:49
3950137456,1347285918,2016-02-05 05:05:49
13943202,15458694,2016-02-05 05:05:49
355690109,1339835893,2016-02-05 05:05:49
1710743766,36847043,2016-02-05 05:05:49
1710743766,216776631,2016-02-05 05:05:49
2887201159,14173315,2016-02-05 05:05:49
4794182534,21982720,2016-02-05 05:05:49
4794182534,1339835893,2016-02-05 05:05:49
408861045,852269288,2016-02-05 05:05:49
3403597312,1339835893,2016-02-05 05:05:49
2167674121,261749735,2016-02-05 05:05:49
2167674121,25073877,2016-02-05 05:05:49
21361003,159655293,2016-02-05 05:05:49
1263295052,852269288,2016-02-05 05:05:50
603999850,18464266,2016-02-05 05:05:50
603999850,1339835893,2016-02-05 05:05:50
4677284473,1418745782,2016-02-05 05:05:50
15693134,755113,2016-02-05 05:05:50
809826704,139909832,2016-02-05 05:05:50
809826704,216776631,2016-02-05 05:05:50
3481017737,25073877,2016-02-05 05:05:50
3481017737,4121225056,2016-02-05 05:05:50
3481017737,397545273,2016-02-05 05:05:50
